"Yield","Latitude","Longitude","TimeStamp"
249.61093338,399.245990981984,264.979506127335,"2018-11-02 17:15:40"
257.66645436,397.447750636066,265.027260240167,"2018-11-02 17:15:41"
259.59195895,395.707346813641,265.058543598639,"2018-11-02 17:15:42"
253.4786819,393.936531816987,265.05876465968,"2018-11-02 17:15:43"
243.99515501,392.189492828847,265.090269112183,"2018-11-02 17:15:44"
248.29960706,390.43615043367,265.119452163768,"2018-11-02 17:15:45"
241.1669247,388.69618895484,265.163890018524,"2018-11-02 17:15:46"
245.40237649,386.929244471127,265.153609609536,"2018-11-02 17:15:47"
240.87370223,385.169377496724,265.234747387727,"2018-11-02 17:15:48"
262.64311361,383.430190120953,265.255639794909,"2018-11-02 17:15:49"
238.24914147,381.662913878562,265.248454560962,"2018-11-02 17:15:51"
245.51774161,379.895969395634,265.245248845189,"2018-11-02 17:15:51"
244.63512073,378.136765937803,265.23916904055,"2018-11-02 17:15:52"
260.61592757,376.34405488486,265.265256929661,"2018-11-02 17:15:53"
230.5110244,374.528563120656,265.27255270591,"2018-11-02 17:15:54"
252.10432992,372.732866254536,265.32671823772,"2018-11-02 17:15:56"
258.83166571,370.93130832576,265.310910734034,"2018-11-02 17:15:56"
233.5941065,369.127428089377,265.332134790115,"2018-11-02 17:15:57"
245.27372414,367.320009086946,265.332576946758,"2018-11-02 17:15:58"
233.97470515,365.517234711516,265.336335361476,"2018-11-02 17:15:59"
244.89482082,363.733923498278,265.353027198868,"2018-11-02 17:16:00"
237.67628026,361.925177462704,265.381878645539,"2018-11-02 17:16:02"
251.05690106,360.113335028249,265.431622500962,"2018-11-02 17:16:02"
252.21822055,358.310339480628,265.458705266082,"2018-11-02 17:16:04"
250.58488457,356.493188913601,265.477386847638,"2018-11-02 17:16:04"
245.6228868,354.678360654968,265.503143100416,"2018-11-02 17:16:05"
249.00612656,352.863974739929,265.505685563945,"2018-11-02 17:16:06"
256.72666802,351.051911133284,265.531110200813,"2018-11-02 17:16:07"
263.3925813,349.250132032318,265.560624899727,"2018-11-02 17:16:08"
247.65058667,347.424134579243,265.621201881934,"2018-11-02 17:16:09"
257.52116309,345.555450896545,265.667076770912,"2018-11-02 17:16:10"
244.2389231,343.688315418395,265.668403251835,"2018-11-02 17:16:12"
244.14565611,341.814213017424,265.730306727533,"2018-11-02 17:16:12"
235.50451501,339.951390397381,265.726658833125,"2018-11-02 17:16:13"
250.26016854,338.073970413552,265.727100989767,"2018-11-02 17:16:14"
239.88730982,336.192458744592,265.75937922582,"2018-11-02 17:16:15"
